Sample 0:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | - |OBJ=: 0
Sample 1:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.298ms
Sample 2:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.202ms
Sample 3:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.177ms
Sample 4:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.194ms
Sample 5:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.194ms
Sample 6:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 7:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.221ms
Sample 8:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.152ms
Sample 9:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.234ms
Sample 10:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.17ms
Sample 11:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.201ms
Sample 12:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.161ms
Sample 13:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.162ms
Sample 14:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.161ms
Sample 15:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.175ms
Sample 16:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.162ms
Sample 17:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.162ms
Sample 18:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.161ms
Sample 19:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.162ms
Sample 20:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.161ms
Sample 21:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.161ms
Sample 22:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.162ms
Sample 23:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.224ms
Sample 24:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.164ms
Sample 25:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.206ms
Sample 26:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.187ms
Sample 27:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.197ms
Sample 28:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.21ms
Sample 29:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.191ms
Sample 30:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.219ms
Sample 31:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.166ms
Sample 32:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.24ms
Sample 33:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.185ms
Sample 34:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.259ms
Sample 35:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.185ms
Sample 36:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.179ms
Sample 37:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.197ms
Sample 38:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.167ms
Sample 39:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.18ms
Sample 40:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 41:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 42:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 43:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 44:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.192ms
Sample 45:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 46:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.231ms
Sample 47:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 48:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.154ms
Sample 49:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.205ms
